Category,Year,Acres,gross_revenue
field_crops,1999,"368517","$257,341,000.00"
field_crops,2000,"389628","$254,357,000.00"
field_crops,2001,"388103","$284,901,000.00"
field_crops,2002,"398722","$272,901,000.00"
field_crops,2003,"376292","$244,528,000.00"
field_crops,2004,"370017","$255,299,000.00"
field_crops,2005,"351866","$269,026,000.00"
field_crops,2006,"361383","$298,933,000.00"
field_crops,2007,"352156","$308,745,000.00"
field_crops,2008,"412335","$482,588,000.00"
field_crops,2009,"353128","$321,544,000.00"
field_crops,2010,"352760","$360,139,000.00"
field_crops,2011,"365015","$518,257,000.00"
field_crops,2012,"396839","$587,977,000.00"
field_crops,2013,"332727","$470,461,000.00"
field_crops,2014,"322589","$530,849,000.00"
field_crops,2015,"349687","$422,319,000.00"
field_crops,2016,"333762","$381,181,000.00"
field_crops,2017,"326667","$365,819,000.00"
field_crops,2018,"341229","$507,849,000.00"
field_crops,2019,"344435","$498,165,000.00"
field_crops,2020,"331173","$444,693,000.00"
field_crops,2021,"348553","$522,502,000.00"
